pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,
-50,x,,,,,20,2,82,0,882.4655178000103,883.4654994000448,883.4654994000448,883.4654994000448,883.4654994000448,883.4654994000448,884.4653519000276,884.4653519000276,x,1,1.1371798999607563,None,pallavi,001,2023-10-09_13h44.21.232,Sequential Learning,2023.1.3,59.88325160904184,
-150,z,,,,,20,3,83,3,885.6320073000388,886.6322266000207,886.6322266000207,886.6322266000207,886.6322266000207,886.6322266000207,887.6322473000037,887.6322473000037,z,1,1.3820938999997452,None,pallavi,001,2023-10-09_13h44.21.232,Sequential Learning,2023.1.3,59.88325160904184,
150,v,,,,,21,0,84,1,889.0320637000259,890.0323697000276,890.0323697000276,890.0323697000276,890.0323697000276,890.0323697000276,891.0320702000172,891.0320702000172,v,1,1.1997834999929182,None,pallavi,001,2023-10-09_13h44.21.232,Sequential Learning,2023.1.3,59.88325160904184,
-150,z,,,,,21,1,85,3,892.2485986000393,893.2511852000025,893.2511852000025,893.2511852000025,893.2511852000025,893.2511852000025,894.2487108000205,894.2487108000205,z,1,0.8454695999971591,None,pallavi,001,2023-10-09_13h44.21.232,Sequential Learning,2023.1.3,59.88325160904184,
-50,x,,,,,21,2,86,0,895.1152418000274,896.1154193000402,896.1154193000402,896.1154193000402,896.1154193000402,896.1154193000402,897.1156074000173,897.1156074000173,x,1,0.7602537000202574,None,pallavi,001,2023-10-09_13h44.21.232,Sequential Learning,2023.1.3,59.88325160904184,
50,c,,,,,21,3,87,2,897.8988527000183,898.898889300006,898.898889300006,898.898889300006,898.898889300006,898.898889300006,899.8989322000416,899.8989322000416,c,1,1.1527736999560148,None,pallavi,001,2023-10-09_13h44.21.232,Sequential Learning,2023.1.3,59.88325160904184,
50,c,,,,,22,0,88,2,901.0819605000434,902.0651297000004,902.0651297000004,902.0651297000004,902.0651297000004,902.0818122000201,903.082198499993,903.082198499993,c,1,0.8297020000172779,None,pallavi,001,2023-10-09_13h44.21.232,Sequential Learning,2023.1.3,59.88325160904184,
-50,x,,,,,22,1,89,0,903.9321352000115,904.9322993000387,904.9322993000387,904.9322993000387,904.9322993000387,904.9322993000387,905.9319793000468,905.9319793000468,x,1,0.9508828999823891,None,pallavi,001,2023-10-09_13h44.21.232,Sequential Learning,2023.1.3,59.88325160904184,
-50,x,,,,,22,2,90,0,906.9151945000049,907.9154773000046,907.9154773000046,907.9154773000046,907.9154773000046,907.9154773000046,908.9151506000198,908.9151506000198,x,1,0.7859521000063978,None,pallavi,001,2023-10-09_13h44.21.232,Sequential Learning,2023.1.3,59.88325160904184,
150,v,,,,,22,3,91,1,909.7320728000486,910.7320135000045,910.7320135000045,910.7320135000045,910.7320135000045,910.7320135000045,911.7322909000213,911.7322909000213,v,1,1.856094699993264,None,pallavi,001,2023-10-09_13h44.21.232,Sequential Learning,2023.1.3,59.88325160904184,
50,c,,,,,23,0,92,2,913.6152650000295,914.6154690000112,914.6154690000112,914.6154690000112,914.6154690000112,914.6154690000112,915.6152310000034,915.6152310000034,c,1,0.8470787000260316,None,pallavi,001,2023-10-09_13h44.21.232,Sequential Learning,2023.1.3,59.88325160904184,
-50,x,,,,,23,1,93,0,916.4819526000065,917.4823148000287,917.4823148000287,917.4823148000287,917.4823148000287,917.4823148000287,918.4822393000359,918.4822393000359,x,1,0.9425822999910451,None,pallavi,001,2023-10-09_13h44.21.232,Sequential Learning,2023.1.3,59.88325160904184,
-50,x,,,,,23,2,94,0,919.4487930000178,920.4488872000366,920.4488872000366,920.4488872000366,920.4488872000366,920.4488872000366,921.448933000036,921.448933000036,x,1,1.6848461999907158,None,pallavi,001,2023-10-09_13h44.21.232,Sequential Learning,2023.1.3,59.88325160904184,
-150,z,,,,,23,3,95,3,923.1652367000352,924.1652234000503,924.1652234000503,924.1652234000503,924.1652234000503,924.1652234000503,925.1653754000436,925.1653754000436,z,1,0.9866641000262462,None,pallavi,001,2023-10-09_13h44.21.232,Sequential Learning,2023.1.3,59.88325160904184,
